"Viewer Version","2.91"
"COM HW Type","RS485/USB Sensor Cable"
"COM HW Config","Config String: COM6, 115200, ECHOOFF"
"Sensor Cable Version","1.8"
"Product Type","Liquid Flow Sensor (SF06 Chip)"
"Product COM Protocol Config","SHDLC Device Address: 0"
"Product ID","0x03010101"
"Sensor Serial","0000313239354A51"
"I2C Address","33"
"Supply Voltage","3.5 V"
"Command Address","0x3608"
"Sampling Time [ms]","5"
"Scale Factor Flow lin.","60"
"Scale Factor Temp lin.","200"
"Scale Factor Custom","1"
"Sample #","Relative Time[s]","Flow linearized [Pa]","Temperature linearized [deg C]","Custom []"
"526573","2,631.6190","140.717","30.300","60.000"
"526574","2,631.6236","134.367","30.250","60.000"
"526575","2,631.6281","136.717","30.295","60.000"
"526576","2,631.6327","151.217","30.305","60.000"
"526577","2,631.6372","139.267","30.305","60.000"
"526578","2,631.6418","136.083","30.285","60.000"
"526579","2,631.6463","137.850","30.300","60.000"
"526580","2,631.6545","141.350","30.300","60.000"
"526581","2,631.6627","145.350","30.305","60.000"
"526582","2,631.6666","147.083","30.285","60.000"
"526583","2,631.6704","155.800","30.305","60.000"
"526584","2,631.6743","143.583","30.305","60.000"
"526585","2,631.6782","146.467","30.270","60.000"
"526586","2,631.6836","149.717","30.300","60.000"
"526587","2,631.6891","138.550","30.300","60.000"
"526588","2,631.6945","128.000","30.280","60.000"
"526589","2,631.6991","135.433","30.270","60.000"
"526590","2,631.7036","134.717","30.270","60.000"
"526591","2,631.7081","139.783","30.265","60.000"
"526592","2,631.7127","145.817","30.250","60.000"
"526593","2,631.7172","132.650","30.295","60.000"
"526594","2,631.7217","159.583","30.295","60.000"
"526595","2,631.7263","141.867","30.275","60.000"
"526596","2,631.7344","144.367","30.265","60.000"
"526597","2,631.7426","138.783","30.265","60.000"
"526598","2,631.7465","122.967","30.260","60.000"
"526599","2,631.7505","151.133","30.280","60.000"
"526600","2,631.7544","123.067","30.305","60.000"
"526601","2,631.7583","144.733","30.305","60.000"
"526602","2,631.7637","144.183","30.280","60.000"
"526603","2,631.7691","145.367","30.260","60.000"
"526604","2,631.7745","149.150","30.260","60.000"
"526605","2,631.7791","151.450","30.270","60.000"
"526606","2,631.7836","127.167","30.285","60.000"
"526607","2,631.7881","135.800","30.285","60.000"
"526608","2,631.7926","129.833","30.280","60.000"
"526609","2,631.7971","137.250","30.310","60.000"
"526610","2,631.8017","134.267","30.275","60.000"
"526611","2,631.8062","144.417","30.275","60.000"
"526612","2,631.8142","147.450","30.285","60.000"
"526613","2,631.8222","142.600","30.305","60.000"
"526614","2,631.8262","138.750","30.305","60.000"
"526615","2,631.8303","147.217","30.290","60.000"
"526616","2,631.8343","142.417","30.285","60.000"
"526617","2,631.8384","144.800","30.320","60.000"
"526618","2,631.8438","146.633","30.320","60.000"
"526619","2,631.8492","135.700","30.275","60.000"
"526620","2,631.8546","147.133","30.265","60.000"
